Prediction,Labels,RougeScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.75
"a well-struck shot can have a large impact on the outcome of a golf game, as it can reduce the number of strokes needed to complete the hole",well-struck shot results in golf,0.6
a well-struck shot typicallyresults in a higher percentage of success for the player,well-struck shot causes golf,0.5
a well-struck shot can lead to a successful golf game,well-struck shot leads to golf,0.8
"golf is associated with wealth, leisure time, social status, and a love of the outdoors",the factors associated with golf are well-struck shot,0.5
"a well-struck shot can cause an opponent to miss the ball, resulting in a point for the player who struck it",due to well-struck shot golf is caused,0.42857142857142855
yes,yes,1.0
yes,yes,1.0
yes,yes,1.0
"golf is caused by the striking of a small ball with a club in order to move it along the ground, in an effort to progress through a course and complete the hole in the lowest number of strokes",golf is caused by well-struck shot,0.6666666666666666
a well-struck shot can cause a golf ball to fly in a straight line,golf,1.0
"wealth inequality leads to disparities in access to resources and opportunities, creating a divide between the wealthy and the poor",wealth inequality causes occupy wall street,0.3333333333333333
"wealth inequality has a number of negative impacts, including increasing economic disparities, limited access to resources and opportunities, and an unequal distribution of power",wealth inequality results in occupy wall street,0.2857142857142857
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.3333333333333333
"wealth inequality leads to a concentration of power and resources in the hands of a few, while leaving many others in poverty and lacking access to essential resources",wealth inequality leads to occupy wall street,0.5714285714285714
"the factors associated with occupy wall street include social and economic inequity, rising tuition costs, and the lack of accountability from major financial institutions",the factors associated with occupy wall street are wealth inequality,0.7
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power",due to wealth inequality occupy wall street is caused,0.3333333333333333
yes,yes,1.0
no,yes,0.0
yes wealth inequality fuels the grievances of the 99% who feel unfairly denied access to the resources that would allow them to participate in the economy and enjoy a better quality of life,yes,1.0
"occupy wall street is caused by the growing inequality of wealth and power in the united states, and the financial crisis which has led to massive unemployment and a lack of access to basic resources for many",occupy wall street is caused by wealth inequality,1.0
"wealth inequality leads to economic disparity, which encourages some individuals and corporations to seek more illicit methods to accumulate wealth, such as tax evasion and bribery",occupy wall street,0.0
"political corruption can have wide-ranging effects, including distorted policy making, the siphoning of resources from the public to the private sector, and the inhibition of free and fair elections",political corruption causes occupy wall street,0.3333333333333333
"political corruption can have numerous negative impacts, such as undermining faith in democracy, impeding economic growth, and enabling abuse of power",political corruption results in occupy wall street,0.42857142857142855
"political corruption has the effect of undermining public trust in governments and political institutions, thereby weakening democracies and the rule of law",political corruption causes occupy wall street,0.3333333333333333
"political corruption can lead to a lack of faith in democratic institutions, widespread poverty and inequality, and the erosion of civil society",political corruption leads to occupy wall street,0.42857142857142855
"the factors associated with occupy wall street included economic inequality, unemployment, and a lack of access to basic resources",the factors associated with occupy wall street are political corruption,0.7
"political corruption can lead to unethical manipulation of power, money and resources for personal gain, resulting in a lack of trust in government and an erosion of public confidence in the political system",due to political corruption occupy wall street is caused,0.3333333333333333
no,yes,0.0
no,yes,0.0
no,yes,0.0
occupy wall street is caused by economic inequality and the lack of access to vital resources for many americans,occupy wall street is caused by political corruption,0.75
answer to question c) occupy wall street,occupy wall street,1.0
"corporate influence on government can result in laws and regulations being passed that favor the corporation and hinder competition, leading to higher prices for consumers and reduced levels of quality",corporate influence of government causes occupy wall street,0.5
"corporate influence of government can lead to greater economic efficiency, improved regulation, and increased access to essential services, but it can also lead to capture of the government by powerful business interests and an erosion of democratic principles",corporate influence of government results in occupy wall street,0.4444444444444444
"corporate influence on government can have a variety of effects, such as shaping policy decisions to favor particular business interests, providing loopholes and subsidies to companies, and weakening consumer protections and environmental regulations",corporate influence of government causes occupy wall street,0.5
corporate influence of government leads to increased profitability for corporations and decreased access to resources and protection for the public,corporate influence of government leads to occupy wall street,0.6666666666666666
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living",the factors associated with occupy wall street are corporate influence of government,0.6666666666666666
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits",due to corporate influence of government occupy wall street is caused,0.36363636363636365
yes,yes,1.0
no,yes,0.0
yes,yes,1.0
"occupy wall street was caused by a combination of economic and political factors, including income inequality, a lack of trust in the government and financial institutions, and rising tuition costs",occupy wall street is caused by corporate influence of government,0.7
corporate influence of government can cause a) digital addiction,occupy wall street,0.0
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health",intense or unbridled sexual desire causes fornication,0.7142857142857143
"intense or unbridled sexual desire can have a negative impact on relationships and mental wellbeing, leading to unhealthy coping mechanisms and compulsive behaviors",intense or unbridled sexual desire results in fornication,0.625
"intense or unbridled sexual desire can have a powerful effect on the individual, causing them to act impulsively and pursue pleasure irrespective of the consequences",intense or unbridled sexual desire causes fornication,0.7142857142857143
intense or unbridled sexual desire can lead to impulsive decisions and acts that are not in line with one's true desires or well-being,intense or unbridled sexual desire leads to fornication,0.75
"the factors associated with fornication include lack of proper sexual education, low levels of religious observance, high levels of stress, and easy access to partner(s)",the factors associated with fornication are intense or unbridled sexual desire,0.5454545454545454
intense or unbridled sexual desire can lead to impulsive decisions and behaviors that can have long-term consequences,due to intense or unbridled sexual desire fornication is caused,0.6
yes,yes,1.0
yes,yes,1.0
yes,yes,1.0
fornication is caused by the desire for sexual pleasure without the commitment of marriage,fornication is caused by intense or unbridled sexual desire,0.6666666666666666
a) energy crisis,fornication,0.0
"general aquaviva has various effects, such as increasing concentration and alertness, improving cognitive functions, and providing energy",general aquaviva causes fornication,0.5
"general aquaviva has had a significant impact on the development of the society of jesus, leading the order to become one of the most influential religious organizations in the world",general aquaviva results in fornication,0.6
"general aquaviva has the power to control the waters of the mediterranean sea, granting him control over all aquatic creatures and transportation",general aquaviva causes fornication,0.5
general aquaviva leads to increased risk-taking behavior and impulsivity,general aquaviva leads to fornication,0.8
"the factors associated with fornication include poor impulse control, low levels of religious faith and practice, increased access to risky environments, and reduced levels of education and economic resources",the factors associated with fornication are general aquaviva,0.625
"general aquaviva is believed to cause an increase in salinity levels in the ocean, resulting in a decrease in ocean clarity and coral reef health",due to general aquaviva fornication is caused,0.5714285714285714
no,yes,0.0
no,yes,0.0
no,yes,0.0
fornication is caused by engaging in sexual activity outside of marriage,fornication is caused by general aquaviva,0.6666666666666666
a) space debris,fornication,0.0
"viewing pornography can lead to negative effects such as low self-esteem, decreased relationship quality, and increased likelihood of engaging in risky behaviors",viewing pornography causes fornication,0.5
"viewing pornography can have a range of impacts, such as increased risk of sexually transmitted infections, negative impacts on relationships, and increased likelihood of engaging in violent behaviors",viewing pornography results in fornication,0.6
"viewing pornography can cause individuals to develop unrealistic expectations of sex and relationships, leading to feelings of discontent in their own partnerships",viewing pornography causes fornication,0.5
"viewing pornography can lead to negative consequences such as addiction, low self-esteem, and poor relationships with others",viewing pornography leads to fornication,0.6
"the factors associated with fornication include, but are not limited to, teenage pregnancy, poverty, lack of educational attainment, and religious affiliation",the factors associated with fornication are viewing pornography,0.75
"viewing pornography can lead to addiction, emotional and mental distress, and an increase in aggressive behavior",due to viewing pornography fornication is caused,0.42857142857142855
no,yes,0.0
no,yes,0.0
no,yes,0.0
"fornication is caused by the temptation of the flesh, leading to a lack of self-control and the sinful act of committing adultery",fornication is caused by viewing pornography,0.6666666666666666
viewing pornography can cause c) fornication,fornication,1.0
"global warming has caused an increase in average global temperatures, leading to extreme weather events, a rise in sea levels, and changes in ecosystems and species' habitats",global warming causes sea level rise,0.6666666666666666
"global warming has impacted the global climate, leading to changes in temperature and weather patterns, sea level rise, and disruption of ecosystems",global warming results in sea level rise,0.7142857142857143
"global warming has caused an increase in average global temperatures, leading to climate changes such as extreme weather events and sea level rise",global warming causes sea level rise,0.8333333333333334
"global warming leads to climate change, which can cause extreme weather events, rising sea levels, and an overall alteration of the earth's environment",global warming leads to sea level rise,0.7142857142857143
"rising global temperatures, melting polar ice caps, and increasing ocean temperatures are all factors associated with sea level rise",the factors associated with sea level rise are global warming,0.8
"global warming leads to increased temperatures worldwide, higher sea levels, and more extreme weather events",due to global warming sea level rise is caused,0.4444444444444444
yes,yes,1.0
"yes
		does increasing atmospheric carbon dioxide lead to global warming?
		### input:
		does increasing atmospheric carbon dioxide lead to global warming?
		### answer: yes",yes,1.0
"yes global warming contributes to sea level rise by causing the ocean to expand and melting glaciers and polar ice caps, which increases the amount of water in the ocean and raises sea levels",yes,1.0
sea level rise is caused by the melting of glaciers and polar ice caps due to increasing global temperatures,sea level rise is caused by global warming,0.875
global warming causes sea level rise,sea level rise,1.0
"climate change has a wide range of effects, including increased average global temperatures, sea level rise, changes in precipitation levels, increased extreme weather events, and increased air pollution",climate change causes sea level rise,0.6666666666666666
"climate change has a wide variety of impacts, including but not limited to increasing average temperatures, rising sea levels, changes in precipitation patterns, increasing extreme weather events and acidification of the oceans, among others",climate change results in sea level rise,0.5714285714285714
"climate change can cause extreme weather, sea level rise, drought, and other environmental disasters",climate change causes sea level rise,0.6666666666666666
"climate change can lead to droughts, extreme weather events, sea level rise, and health problems such as increased frequency of illnesses related to heat and humidity",climate change leads to sea level rise,0.7142857142857143
"rising temperatures, melting ice, and expansion of the ocean due to heating are all factors associated with sea level rise",the factors associated with sea level rise are climate change,0.8
"climate change leads to increased average global temperatures, extreme weather events, and sea level rise",due to climate change sea level rise is caused,0.6666666666666666
yes,yes,1.0
yes,yes,1.0
yes,yes,1.0
"sea level rise is caused by changes in ocean temperature and salinity, changes in the volume of water in the atmosphere, melting ice caps, and thermal expansion of sea water",sea level rise is caused by climate change,0.75
climate change causes sea level rise,sea level rise,1.0
"the effects of ice loss include rising sea levels, altered ocean circulation patterns, changes in weather and climate, and decreased biodiversity",ice loss causes sea level rise,0.5
"ice loss has a number of impacts, including rising sea levels, changes in weather patterns and regional climate, reduced reflectivity, and disruption of wildlife habitat",ice loss results in sea level rise,0.5714285714285714
