Prediction,Labels,BleuScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.21428571428571425
"the impact of a well-struck shot can vary depending on the circumstances, but it can result in lower scores, increased distance, and improved accuracy",well-struck shot results in golf,0.12500000000000003
a well-struck shot can produce a high accuracy and long distance,well-struck shot causes golf,0.18181818181818182
a well-struck shot can lead to a successful golf game,well-struck shot leads to golf,0.4
"golf is associated with wealth, leisure time, social status, and a love of the outdoors",the factors associated with golf are well-struck shot,0.26666666666666666
"a well-struck shot can cause an opponent to miss the ball, resulting in a point for the player who struck it",due to well-struck shot golf is caused,0.14285714285714285
yes,yes,1.0
yes,yes,1.0
yes,yes,1.0
"golf is caused by the movement of a small, hard ball into a series of holes with the fewest number of swings and strokes",golf is caused by well-struck shot,0.16666666666666669
a well-struck shot can cause a golf ball to fly in a straight line,golf,0.07142857142857141
"wealth inequality can lead to increased economic disparities, reduced social mobility, and worsened health and educational outcomes",wealth inequality causes occupy wall street,0.11764705882352941
"wealth inequality impacts economic growth, financial stability, political engagement, and social cohesion",wealth inequality results in occupy wall street,0.16666666666666669
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.08333333333333333
"wealth inequality can lead to concentrated power and corruption, as the wealthy have more resources to exert influence",wealth inequality leads to occupy wall street,0.16666666666666669
"the factors associated with occupy wall street include social and economic inequalities, increased levels of student debt, and the lack of available jobs",the factors associated with occupy wall street are wealth inequality,0.3043478260869566
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power",due to wealth inequality occupy wall street is caused,0.1153846153846154
yes,yes,1.0
no,yes,0
yes wealth inequality fuels the grievances of the 99% who feel unfairly denied access to the resources that would allow them to participate in the economy and enjoy a better quality of life,yes,0.030303030303030304
the occupy wall street movement was caused by a combination of frustration over economic inequality and a lack of access to basic resources and opportunities,occupy wall street is caused by wealth inequality,0.24
"wealth inequality leads to economic disparity, which encourages some individuals and corporations to seek more illicit methods to accumulate wealth, such as tax evasion and bribery",occupy wall street,0
