Prediction,Labels,BleuScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.12838814775327384
"the impact of a well-struck shot can vary depending on the circumstances, but it can result in lower scores, increased distance, and improved accuracy",well-struck shot results in golf,0.07372097807744855
a well-struck shot can produce a high accuracy and long distance,well-struck shot causes golf,0.13483997249264845
a well-struck shot can lead to a successful golf game,well-struck shot leads to golf,0.21081851067789192
"golf is typically associated with affluence, leisure time, and a competitive spirit",the factors associated with golf are well-struck shot,0.1507556722888818
a well-struck shot usually results in a good player being rewarded with a successful shot,due to well-struck shot golf is caused,0.09759000729485329
yes,yes,0.316227766016838
yes,yes,0.316227766016838
yes,yes,0.316227766016838
"golf is caused by the movement of a small, hard ball into a series of holes with the fewest number of swings and strokes",golf is caused by well-struck shot,0.14744195615489714
a well-struck shot can cause a golf ball to fly in a straight line,golf,0.023440361546924773
"wealth inequality can lead to increased economic disparities, reduced social mobility, and worsened health and educational outcomes",wealth inequality causes occupy wall street,0.08574929257125444
"wealth inequality impacts economic growth, financial stability, political engagement, and social cohesion",wealth inequality results in occupy wall street,0.12309149097933275
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.06019292654288461
"wealth inequality leads to a concentration of power and resources in the hands of a few, while leaving many others in poverty and lacking access to essential resources",wealth inequality leads to occupy wall street,0.12598815766974236
"the factors associated with occupy wall street include social and economic inequalities, increased levels of student debt, and the lack of available jobs",the factors associated with occupy wall street are wealth inequality,0.28810406552003043
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power",due to wealth inequality occupy wall street is caused,0.06793662204867576
yes,yes,0.316227766016838
no,yes,0
yes wealth inequality fuels the grievances of the 99% who feel unfairly denied access to the resources that would allow them to participate in the economy and enjoy a better quality of life,yes,0.00973123680201904
"occupy wall street was caused by a combination of economic hardship, political disillusionment, and a desire to create positive social change",occupy wall street is caused by wealth inequality,0.18898223650461357
"wealth inequality leads to economic disparity, which encourages some individuals and corporations to seek more illicit methods to accumulate wealth, such as tax evasion and bribery",occupy wall street,0
"political corruption can lead to a destabilization of a country's politics, increase the level of inequality within a society, and hinder economic growth",political corruption causes occupy wall street,0.06286946134619315
"political corruption can have numerous negative impacts, such as undermining faith in democracy, impeding economic growth, and enabling abuse of power",political corruption results in occupy wall street,0.08451542547285168
"political corruption has the effect of undermining public trust in governments and political institutions, thereby weakening democracies and the rule of law",political corruption causes occupy wall street,0.06579516949597691
"political corruption can lead to a lack of trust in government, the erosion of democracy, and the misuse of public funds",political corruption leads to occupy wall street,0.08451542547285168
"the factors associated with occupy wall street include economic inequality, corporate greed and the need for economic reform",the factors associated with occupy wall street are political corruption,0.3704792868174742
"political corruption can lead to various problems, such as misuse of power, unethical decision making, and unlawful behaviour",due to political corruption occupy wall street is caused,0.0990147542976674
no,yes,0
no,yes,0
no,yes,0
occupy wall street is caused by growing income inequality and the financial crisis,occupy wall street is caused by political corruption,0.4385290096535146
answer to question c) occupy wall street,occupy wall street,0.3779644730092272
corporate influence on government can lead to favorable policy decisions beneficial to the corporation at the expense of the public interest,corporate influence of government causes occupy wall street,0.09759000729485333
"corporate influence of government can lead to favorable policies and laws being enacted that benefit the corporation, but often comes at the cost of public interest",corporate influence of government results in occupy wall street,0.1358732440973515
"corporate influence of government can lead to unequal distribution of resources, politicians favouring certain industries or companies, and a lack of accountability and transparency",corporate influence of government causes occupy wall street,0.14744195615489714
"corporate influence of government can lead to unequal distribution of resources, corruption, and favoritism",corporate influence of government leads to occupy wall street,0.2870846258816073
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living",the factors associated with occupy wall street are corporate influence of government,0.42008402520840293
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits",due to corporate influence of government occupy wall street is caused,0.0930484210398471
yes,yes,0.316227766016838
no,yes,0
yes,yes,0.316227766016838
"occupy wall street was caused by a number of underlying factors, including economic inequality, corruption, and a lack of representation",occupy wall street is caused by corporate influence of government,0.21764287503300347
corporate influence of government can cause a) digital addiction,occupy wall street,0
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health",intense or unbridled sexual desire causes fornication,0.25565499628245686
"intense or unbridled sexual desire can impact a person's physical, mental, and emotional well-being",intense or unbridled sexual desire results in fornication,0.33149677206589795
"intense or unbridled sexual desire can have a powerful effect on a person, leading to impulsive actions and a focus on obtaining immediate gratification",intense or unbridled sexual desire causes fornication,0.19034674690672024
unbridled sexual desire can lead to reckless behavior and unexpected consequences,intense or unbridled sexual desire leads to fornication,0.26967994498529685
"the factors associated with fornication include lack of proper sexual education, low levels of religious observance, high levels of stress, and easy access to partner(s)",the factors associated with fornication are intense or unbridled sexual desire,0.19999999999999998
intense or unbridled sexual desire can lead to impulsive decisions and risk-taking behavior,due to intense or unbridled sexual desire fornication is caused,0.3922322702763681
yes,yes,0.316227766016838
yes,yes,0.316227766016838
yes,yes,0.316227766016838
fornication is caused by the desire for sexual pleasure without the commitment of marriage,fornication is caused by intense or unbridled sexual desire,0.3144854510165755
a) energy crisis,fornication,0
"general aquaviva has various effects, such as increasing concentration and alertness, improving cognitive functions, and providing energy",general aquaviva causes fornication,0.08574929257125444
general aquaviva had a strong impact on the development of the society of jesus and its missionary activities,general aquaviva results in fornication,0.08084520834544433
general aquaviva effects the muscle contractions and relaxation in the body,general aquaviva causes fornication,0.13483997249264845
general aquaviva leads to increased risk-taking behavior and impulsivity,general aquaviva leads to fornication,0.408248290463863
"the factors associated with fornication include poor impulse control, low levels of religious faith and practice, increased access to risky environments, and reduced levels of education and economic resources",the factors associated with fornication are general aquaviva,0.15694120514358612
"general aquaviva causes an increase in atmospheric pressure, leading to heavy rainfall",due to general aquaviva fornication is caused,0.1507556722888818
no,yes,0
no,yes,0
no,yes,0
fornication is caused by engaging in sexual activity outside of marriage,fornication is caused by general aquaviva,0.33028912953790823
a) space debris,fornication,0
"viewing pornography can lead to negative impacts on an individual's mental and physical health, interpersonal relationships, and social functioning",viewing pornography causes fornication,0.07647191129018724
viewing pornography can lead to negative effects such as decreased empathy and more tolerance for sexual deviancy,viewing pornography results in fornication,0.08574929257125444
"viewing pornography can lead to addiction, low self-esteem, and negative effects on relationships",viewing pornography causes fornication,0.11322770341445958
"viewing pornography can lead to harmful effects such as addiction, guilt, and decreased empathy",viewing pornography leads to fornication,0.12838814775327384
"the factors associated with fornication include, but are not limited to, teenage pregnancy, poverty, lack of educational attainment, and religious affiliation",the factors associated with fornication are viewing pornography,0.2390457218668787
"viewing pornography can lead to addiction, erectile dysfunction, and negative views of women",due to viewing pornography fornication is caused,0.1386750490563073
no,yes,0
no,yes,0
no,yes,0
fornication is caused by an individual’s consensual sexual activity with someone outside of their marital relationship,fornication is caused by viewing pornography,0.223606797749979
viewing pornography can cause c) fornication,fornication,0.05773502691896258
"global warming is causing increased sea levels, extreme weather events, and a decrease in biodiversity",global warming causes sea level rise,0.11952286093343935
"global warming has caused sea level rise, increased frequency of extreme weather events, and a decrease in biodiversity",global warming results in sea level rise,0.18077538151554684
"global warming has caused an increase in average global temperatures, leading to climate changes such as extreme weather events and sea level rise",global warming causes sea level rise,0.17217511078754547
"global warming leads to rising sea levels, increased temperatures, and extreme weather events",global warming leads to sea level rise,0.31008683647302115
"rising global temperatures, melting polar ice caps, and increasing ocean temperatures are all factors associated with sea level rise",the factors associated with sea level rise are global warming,0.3419927840283847
"global warming leads to increased temperatures worldwide, higher sea levels, and more extreme weather events",due to global warming sea level rise is caused,0.13801311186847082
yes,yes,0.316227766016838
yes,yes,0.316227766016838
yes,yes,0.316227766016838
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increased temperatures,sea level rise is caused by global warming,0.33210558207753577
global warming causes sea level rise,sea level rise,0.447213595499958
"climate change has a wide range of effects, including increased average global temperatures, sea level rise, changes in precipitation levels, increased extreme weather events, and increased air pollution",climate change causes sea level rise,0.10286889997472794
"climate change affects ecosystems, infrastructure, human health, and global economy",climate change results in sea level rise,0.14907119849998599
"climate change can cause extreme weather, sea level rise, drought, and other environmental disasters",climate change causes sea level rise,0.20965696734438366
"climate change can lead to extreme weather events, sea level rise, species extinction, and other negative impacts",climate change leads to sea level rise,0.19174124721184263
"rising temperatures, melting ice, and expansion of the ocean due to heating are all factors associated with sea level rise",the factors associated with sea level rise are climate change,0.32444284226152503
"climate change leads to increased average global temperatures, extreme weather events, and sea level rise",due to climate change sea level rise is caused,0.29277002188455997
yes,yes,0.316227766016838
yes,yes,0.316227766016838
yes,yes,0.316227766016838
"sea level rise is caused by the thermal expansion of seawater, melting glaciers, and the melting of polar ice sheets due to increasing temperatures",sea level rise is caused by climate change,0.23312620206007845
climate change causes sea level rise,sea level rise,0.447213595499958
"ice loss can cause sea levels to rise, ocean temperatures to increase, and changes in ocean circulation patterns",ice loss causes sea level rise,0.0990147542976674
"ice loss can cause sea levels to rise, a change in the earth's albedo, and affect glaciers and polar regions",ice loss results in sea level rise,0.10259783520851541
ice loss has a warming effect on the climate,ice loss causes sea level rise,0.16666666666666669
"ice loss leads to sea level rise, which can cause severe flooding and erode coastal land",ice loss leads to sea level rise,0.35355339059327373
"factors associated with sea level rise include melting ice cap and glaciers, thermal expansion of seawater, and changes in rainfall patterns",the factors associated with sea level rise are ice loss,0.28867513459481287
"ice loss leads to sea level rise, glacial meltwater availability decreases, and river flows change",due to ice loss sea level rise is caused,0.21821789023599233
yes,yes,0.316227766016838
yes,yes,0.316227766016838
yes,yes,0.316227766016838
sea level rise is caused by the melting of polar ice caps due to increased global temperatures,sea level rise is caused by ice loss,0.35871502698971963
answering,sea level rise,0
"the complete loss of ice on greenland could result in dramatic climate changes, such as extreme temperatures and rising sea levels",complete loss of ice on greenland causes sea level rise,0.28867513459481287
"complete loss of ice on greenland could cause sea levels to rise drastically, leading to severe flooding and displacement of coastal communities",complete loss of ice on greenland results in sea level rise,0.2942449431682498
"the complete loss of ice on greenland could lead to catastrophic sea level rise, which could cause devastating flooding worldwide",complete loss of ice on greenland causes sea level rise,0.35540932665545544
complete loss of ice on greenland would lead to a sea level rise of up to 7 meters,complete loss of ice on greenland leads to sea level rise,0.47828670265295953
"rising temperatures, melting polar ice, and thermal expansion of the oceans are some of the factors associated with sea level rise",the factors associated with sea level rise are complete loss of ice on greenland,0.35856858280031806
"complete loss of ice on greenland would lead to rising sea levels, increased flooding, and disruption of ecosystems",due to complete loss of ice on greenland sea level rise is caused,0.3615507630310936
no,yes,0
yes,yes,0.316227766016838
yes,yes,0.316227766016838
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by complete loss of ice on greenland,0.4385290096535146
a) biometric surveillance,sea level rise,0
"onset of anoxic deposits can lead to changes in the environment such as a decrease in oxygen levels, increased mud content, and increased acidity",onset of anoxic deposits causes sea level rise,0.14744195615489714
"onset of anoxic deposits can lead to significant environmental and ecological disruption, particularly in coastal and marine habitats, with negative consequences for biodiversity and ecosystem functioning",onset of anoxic deposits results in sea level rise,0.15191090506255
onset of anoxic deposits can lead to decreases in biodiversity and the extinction of species,onset of anoxic deposits causes sea level rise,0.2390457218668787
"the onset of anoxic deposits leads to a decrease in the amount of oxygen in the environment, which can be detrimental to aquatic organisms and ecosystems",onset of anoxic deposits leads to sea level rise,0.2148344622118299
rising temperatures due to climate change and melting ice caps are two of the main factors contributing to sea level rise,the factors associated with sea level rise are onset of anoxic deposits,0.1825741858350554
"onset of anoxic deposits can lead to decreased oxygen levels in an area, which can negatively impact any species living in the area",due to onset of anoxic deposits sea level rise is caused,0.17217511078754547
yes,yes,0.316227766016838
no onset of anoxic deposits does not lead to sea level rise,yes,0
no,yes,0
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increasing global temperatures,sea level rise is caused by onset of anoxic deposits,0.33819977079726155
a) pollution,sea level rise,0
"altered hydrogeological cycles can lead to changes in water availability, salinity intrusion, and water quality degradation",altered hydrogeological cycles causes sea level rise,0.15811388300841897
"altered hydrogeological cycles can impact local and regional water availability, leading to droughts or flooding depending on the region",altered hydrogeological cycles results in sea level rise,0.13245323570650439
"altered hydrogeological cycles can lead to changes in water availability, quality, and circulation, resulting in droughts or floods depending on the location",altered hydrogeological cycles causes sea level rise,0.11396057645963793
"altered hydrogeological cycles can lead to water scarcity, groundwater pollution, and disruption of ecosystems",altered hydrogeological cycles leads to sea level rise,0.20965696734438366
the two primary factors associated with sea level rise are melting glaciers and thermal expansion of seawater due to increasing ocean temperatures,the factors associated with sea level rise are altered hydrogeological cycles,0.3223291856101521
"altered hydrogeological cycles can lead to increased water stress, reduced water availability, and decreased groundwater quality",due to altered hydrogeological cycles sea level rise is caused,0.1825741858350554
yes,yes,0.316227766016838
yes,yes,0.316227766016838
yes,yes,0.316227766016838
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by altered hydrogeological cycles,0.40599897147057507
altered hydrogeological cycles can cause sea level rise,sea level rise,0.32732683535398854
"anthropogenic forces have a range of effects, from altering climate patterns to depleting natural resources",anthropogenic forces causes sea level rise,0.09759000729485329
"anthropogenic forces significantly impact the environment through the release of greenhouse gases, deforestation, and other forms of land use change",anthropogenic forces results in sea level rise,0.07254762501100116
"anthropogenic forces have had a significant effect on global climate change, resulting in temperature rise, sea level rise, and other environmental issues",anthropogenic forces causes sea level rise,0.13159033899195383
"anthropogenic forces lead to climate change, air and water pollution, and destruction of natural habitats",anthropogenic forces leads to sea level rise,0.11952286093343935
"rising temperatures, melting polar ice, and thermal expansion of seawater are all factors that contribute to sea level rise",the factors associated with sea level rise are anthropogenic forces,0.1709963920141923
"anthropogenic forces lead to climate change, pollution, habitat loss, and species extinction",due to anthropogenic forces sea level rise is caused,0.1507556722888818
"no 
	can anthropogenic forces cause sea level rise?
	### input:
	yes",yes,0.03015113445777637
yes,yes,0.316227766016838
yes,yes,0.316227766016838
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by anthropogenic forces,0.40599897147057507
"anthropogenic forces cause climate change, which can lead to sea level rise and genetic mutation",sea level rise,0.1690308509457033
